CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
05.878.397/0001-32;2021-12-31;1;ALIANSCE SONAE SHOPPING CENTERS S.A.;022357;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;3.04.06;Resultado de Equivalência Patrimonial;27260.0000000000;S
05.878.397/0001-32;2021-12-31;1;ALIANSCE SONAE SHOPPING CENTERS S.A.;022357;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;3.04.06;Resultado de Equivalência Patrimonial;44849.0000000000;S
05.878.397/0001-32;2021-12-31;1;ALIANSCE SONAE SHOPPING CENTERS S.A.;022357;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;3.05;Resultado Antes do Resultado Financeiro e dos Tributos;320235.0000000000;S
05.878.397/0001-32;2021-12-31;1;ALIANSCE SONAE SHOPPING CENTERS S.A.;022357;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;3.05;Resultado Antes do Resultado Financeiro e dos Tributos;490058.0000000000;S
05.878.397/0001-32;2021-12-31;1;ALIANSCE SONAE SHOPPING CENTERS S.A.;022357;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;3.06;Resultado Financeiro;-53972.0000000000;S
05.878.397/0001-32;2021-12-31;1;ALIANSCE SONAE SHOPPING CENTERS S.A.;022357;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;3.06;Resultado Financeiro;-150168.0000000000;S
05.878.397/0001-32;2021-12-31;1;ALIANSCE SONAE SHOPPING CENTERS S.A.;022357;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;3.06.01;Receitas Financeiras;100090.0000000000;S
05.878.397/0001-32;2021-12-31;1;ALIANSCE SONAE SHOPPING CENTERS S.A.;022357;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;3.06.01;Receitas Financeiras;66561.0000000000;S
05.878.397/0001-32;2021-12-31;1;ALIANSCE SONAE SHOPPING CENTERS S.A.;022357;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;3.06.02;Despesas Financeiras;-154062.0000000000;S
05.878.397/0001-32;2021-12-31;1;ALIANSCE SONAE SHOPPING CENTERS S.A.;022357;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;3.06.02;Despesas Financeiras;-216729.0000000000;S
05.878.397/0001-32;2021-12-31;1;ALIANSCE SONAE SHOPPING CENTERS S.A.;022357;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;3.07;Resultado Antes dos Tributos sobre o Lucro;266263.0000000000;S
05.878.397/0001-32;2021-12-31;1;ALIANSCE SONAE SHOPPING CENTERS S.A.;022357;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;3.07;Resultado Antes dos Tributos sobre o Lucro;339890.0000000000;S
05.878.397/0001-32;2021-12-31;1;ALIANSCE SONAE SHOPPING CENTERS S.A.;022357;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;3.08;Imposto de Renda e Contribuição Social sobre o Lucro;-63790.0000000000;S
05.878.397/0001-32;2021-12-31;1;ALIANSCE SONAE SHOPPING CENTERS S.A.;022357;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;3.08;Imposto de Renda e Contribuição Social sobre o Lucro;-21485.0000000000;S
05.878.397/0001-32;2021-12-31;1;ALIANSCE SONAE SHOPPING CENTERS S.A.;022357;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;3.08.01;Corrente;-30254.0000000000;S
05.878.397/0001-32;2021-12-31;1;ALIANSCE SONAE SHOPPING CENTERS S.A.;022357;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;3.08.01;Corrente;-61379.0000000000;S
05.878.397/0001-32;2021-12-31;1;ALIANSCE SONAE SHOPPING CENTERS S.A.;022357;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;3.08.02;Diferido;-33536.0000000000;S
05.878.397/0001-32;2021-12-31;1;ALIANSCE SONAE SHOPPING CENTERS S.A.;022357;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;3.08.02;Diferido;39894.0000000000;S
05.878.397/0001-32;2021-12-31;1;ALIANSCE SONAE SHOPPING CENTERS S.A.;022357;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;3.09;Resultado Líquido das Operações Continuadas;202473.0000000000;S
05.878.397/0001-32;2021-12-31;1;ALIANSCE SONAE SHOPPING CENTERS S.A.;022357;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;3.09;Resultado Líquido das Operações Continuadas;318405.0000000000;S
05.878.397/0001-32;2021-12-31;1;ALIANSCE SONAE SHOPPING CENTERS S.A.;022357;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;3.10;Resultado Líquido de Operações Descontinuadas;0.0000000000;S
05.878.397/0001-32;2021-12-31;1;ALIANSCE SONAE SHOPPING CENTERS S.A.;022357;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;3.10;Resultado Líquido de Operações Descontinuadas;0.0000000000;S
